序号,行业,行业指数,行业-涨跌幅,流入资金,流出资金,净额,公司家数,领涨股,领涨股-涨跌幅,当前价
161,机器视觉,2030.27,-2.12,642.48,764.72,-122.24,250,莱赛激光,19.89,12.96
162,PCB概念,3289.78,-2.12,1498.84,1818.7,-319.86,226,超声电子,10.01,28.46
163,共同富裕示范区,1433.72,-2.13,217.42,241.29,-23.87,185,铖昌科技,10.0,139.43
164,智能物流,1060.23,-2.15,363.35,401.78,-38.43,238,宏川智慧,10.04,9.43
165,汽车芯片,1604.79,-2.16,1364.91,1510.03,-145.12,143,华海诚科,11.7,165.88
166,人民币贬值受益,2293.36,-2.16,2273.26,2621.16,-347.9,601,雷曼光电,19.98,12.13
167,海峡两岸,1867.81,-2.16,1018.88,1236.34,-217.47,317,雷曼光电,19.98,12.13
168,牙科医疗,1139.97,-2.17,115.98,116.47,-0.49,30,有研新材,7.89,60.59
169,苹果概念,6923.6,-2.17,1132.78,1330.29,-197.51,140,长信科技,14.29,11.76
170,车联网(车路协同),1124.58,-2.18,582.75,662.17,-79.41,295,蜀道装备,19.98,30.5
171,文化传媒概念,2474.45,-2.18,122.04,163.22,-41.18,197,佳创视讯,20.02,9.77
172,富士康概念,4304.07,-2.19,578.46,722.51,-144.05,108,圣晖集成,10.0,135.58
173,磷化工,3228.93,-2.2,241.75,278.03,-36.28,68,正帆科技,20.0,56.22
174,燃料电池,2043.73,-2.2,447.36,533.6,-86.24,213,蜀道装备,19.98,30.5
175,PEEK材料,2096.38,-2.21,130.3,148.67,-18.37,53,泰和科技,6.96,30.29
176,无线充电,2342.73,-2.21,230.38,246.0,-15.62,58,凯盛科技,10.0,29.6
177,培育钻石,2944.66,-2.21,82.96,93.78,-10.82,19,沃尔德,11.19,142.5
